0	117
1	106
2	90
3	90
4	102
5	105
6	87
7	85
8	104
9	92
10	120
11	94
12	90
13	78
14	90
15	76
16	104
17	89
18	100
19	95
20	111
21	114
22	98
23	91
24	95
25	105
26	97
27	93
28	85
29	99
30	90
31	101
32	93
33	86
34	98
35	103
36	102
37	91
38	81
39	89
40	98
41	106
42	96
43	97
44	111
45	120
46	101
47	98
48	105
49	91
50	91
51	98
52	106
53	100
54	127
55	111
56	103
57	106
58	95
59	97
60	99
61	95
62	88
63	106
64	93
65	97
66	96
67	85
68	94
69	113
70	92
71	112
72	106
73	93
74	93
75	98
76	94
77	81
78	101
79	125
80	94
81	97
82	92
83	102
84	110
85	94
86	103
87	101
88	93
89	117
90	115
91	100
92	89
93	91
94	96
95	112
96	114
97	117
98	113
99	89
100	107
